"latitude","longitude","date"
34.45195,-94.60042,"10/19/2001"
34.36778,-94.68028,"3/25/2009"
34.021,-94.4435,"8/14/2010"
34.0775,-94.4095,"10/26/2020"
34.13716,-94.69904,"7/16/2022"
35.2933,-95.94727,"6/19/2009"
35.7575,-95.60667,"5/3/2004"
NA,NA,""
36.03501,-96.36707,"9/8/2009"
34.62944,-98.62833,"1/10/2005"
35.21111,-97.24139,"9/1/1995"
34.11306,-95.62278,"12/21/2004"
NA,NA,""
34.9575,-98.31556,"3/1/1992"
34.29861,-96.30222,"6/17/1992"
NA,NA,""
45.4051,-121.424,"8/15/1974"
45.44986,-117.7273,"7/1/1972"
NA,NA,""
45.3712,-118.5518,"8/15/1974"
NA,NA,""
45.5,-118.42,"6/15/1976"
45.9957,-118.1253,"6/30/1976"
45.5789,-118.6016,"12/15/1985"
45.3233,-118.2742,"7/15/1991"
NA,NA,""
45.6605,-118.5654,"9/15/1994"
NA,NA,""
45.48318,-118.83,"10/15/1998"
45.84175,-117.991,"3/5/2001"
45.99215,-118.0811,"3/20/2001"
45.46571,-118.875,"12/17/2002"
45.58982,-118.6131,"10/5/2004"
45.6764,-118.5658,"7/15/2005"
45.66721,-118.7056,"11/7/2012"
45.45024,-118.3243,"8/12/2020"
45.43806,-118.0883,"8/24/1982"
NA,NA,""
45.80374,-118.0603,"4/30/1996"
NA,NA,""
45.91665,-117.925,"2/11/2009"
44.8464,-121.1537,"6/15/1983"
NA,NA,""
NA,NA,""
45.8417,-121.7084,"10/5/2009"
45.24006,-121.6794,"7/26/2017"
45.33935,-121.3226,"9/1/2017"
45.63606,-123.3471,"7/31/1984"
NA,NA,""
45.4915,-123.2665,"9/15/1993"
45.46429,-123.0697,"6/15/1997"
45.48204,-122.9903,"10/15/2000"
45.76569,-123.3601,"10/14/2001"
34.25,-96.21,"10/12/2004"
35.50556,-98.575,"10/3/1999"
35.10278,-98.34056,"4/29/2002"
35.33389,-98.13028,"6/13/2003"
35.08344,-98.24586,"4/26/2012"
35.50285,-94.77699,"10/1/1982"
35.325,-95.0585,"6/10/2000"
35.92806,-94.83,"3/26/2001"
35.27639,-97.33528,"11/29/2003"
NA,NA,""
34.76134,-98.61497,"1/25/2010"
35,-99,"6/3/2010"
36.4168,-94.78227,"9/6/1979"
36.4075,-94.92667,"4/4/2000"
NA,NA,""
NA,NA,""
45.06881,-123.6956,"10/20/1982"
