"latitude","longitude"
33.72,-78.9211
NA,NA
NA,NA
34.421,-81.396
33.096,-80.316
34.08725,-79.1246
33.5155,-78.3829
NA,NA
34.53654,-81.70052
34.45025,-82.56786
35.01305,-82.7962
34.65375,-83.11639
NA,NA
NA,NA
NA,NA
36.86345,-79.65835
32.9032,-80.65645
34.59,-80.3891
34.9533,-81.56005
33.007,-80.156
NA,NA
32.29968,-80.95958
33.245,-81.359
34.35765,-82.82005
32.98597,-81.61264
43.35851,-102.3971
43.89875,-103.4966
NA,NA
44.38611,-103.6183
43.4471,-101.7312
43.37663,-99.1903
NA,NA
NA,NA
NA,NA
44.21694,-103.7742
32.37152,-80.44109
NA,NA
33.132,-79.884
33.0932,-79.8102
35.14947,-81.60892
32.825,-80.559
33.04536,-80.45451
34.374,-80.074
NA,NA
NA,NA
36.15588,-82.38587
35.5035,-89.91499
35.68449,-83.53575
36.3065,-84.34
NA,NA
NA,NA
NA,NA
35.5467,-85.02585
35.1013,-84.3046
35.545,-87.8084
36.26451,-89.25397
NA,NA
35.988,-86.5101
35.94778,-86.36485
NA,NA
35.64151,-83.47566
35.46865,-83.3626
35.4745,-83.3032
NA,NA
35.226,-89.94
36.42846,-82.31094
36.30155,-86.60155
36.5802,-86.5104
35.537,-89.63499
NA,NA
35.416,-89.7735
NA,NA
36.19746,-84.66167
NA,NA
35.3538,-84.0458
NA,NA
NA,NA
35.6753,-86.7074
35.40472,-84.05056
NA,NA
35.3218,-87.2932
NA,NA
NA,NA
35.94,-87.25375
35.80762,-88.30945
35.52335,-89.35205
36.36264,-82.98764
35.0055,-89.3808
36.38632,-83.21461
NA,NA
35.78439,-87.44963
35.0228,-87.2352
35.22149,-87.39061
35.10615,-86.46987
35.11417,-86.465
NA,NA
NA,NA
35.2597,-84.28315
NA,NA
NA,NA
36.105,-84.38335
35.30146,-85.07263
35.23036,-85.75014
36.0925,-82.3045
36.19408,-83.73153
35.1918,-86.9094
36.0165,-88.76775
36.39403,-84.85902
36.09583,-89.48666
NA,NA
36.0917,-86.9803
35.545,-85.0667
35.8606,-89.0912
NA,NA
36.1874,-87.0886
NA,NA
NA,NA
NA,NA
NA,NA
36.12292,-88.65445
NA,NA
35.97231,-84.88466
35.8823,-84.88694
NA,NA
36.1124,-87.4769
36.12318,-87.38542
36.02328,-89.17284
36.16488,-89.03873
35.20416,-87.19556
35.18597,-84.48414
35.5559,-84.0475
36.2635,-83.918
33.29083,-97.8375
34.31,-99.295
29.38333,-96.25
30.812,-95.75645
28.725,-97.06667
32.57306,-95.80556
32.58125,-94.86958
30.775,-94.41528
31.22333,-94.96611
30.38667,-98.08611
31.45417,-100.4161
31.44815,-100.4219
31.0232,-94.47903
